,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
240,0,982,1762.1522964420728,4,1597.5,142.26438713835674,Acetate-MOPS
241,1,982,1961.1608718982895,4,1771.0,156.9241080463139,Acetate-MOPS
242,2,982,2407.1732914414024,6,2071.5,187.85602197487984,Acetate-MOPS
243,3,982,2685.0576294892235,6,2297.0,207.15822657282675,Acetate-MOPS
244,4,982,2917.6926397330826,6,2506.0,226.8367515765165,Acetate-MOPS
245,5,982,3240.281748526497,7,2775.5,253.98067831269063,Acetate-MOPS
246,6,982,3673.945221209084,8,3102.5,283.96820696049184,Acetate-MOPS
247,7,982,4323.152328917873,10,3521.5,324.1676762511126,Acetate-MOPS
248,8,982,4736.668827500078,12,3954.5,368.27617769370147,Acetate-MOPS
249,9,982,5226.038831959013,12,4383.0,403.11034995421136,Acetate-MOPS
250,10,982,5922.968046207214,13,4848.5,447.6433425590506,Acetate-MOPS
251,11,982,6363.27032898576,14,5318.5,490.9109046291737,Acetate-MOPS
252,12,982,7215.406196961179,15,5880.0,544.3010444303209,Acetate-MOPS
253,13,982,8165.278405482648,18,6544.0,608.9018773603472,Acetate-MOPS
254,14,982,8921.498661791557,20,7217.5,686.5666805368571,Acetate-MOPS
255,15,982,10336.477206556245,23,8075.5,757.2784198778769,Acetate-MOPS
256,16,982,11565.839989455882,27,9070.5,855.0648149835977,Acetate-MOPS
257,17,982,12653.774726535194,27,9976.0,932.9699432532802,Acetate-MOPS
258,18,982,14950.74301155319,31,11216.5,1049.507081516197,Acetate-MOPS
259,19,982,16381.271016898449,36,12565.0,1187.4153363782757,Acetate-MOPS
260,20,982,18160.796923084185,39,13986.5,1318.5173627863628,Acetate-MOPS
261,21,982,20514.1748987874,46,15721.0,1499.744869213872,Acetate-MOPS
262,22,982,22801.725817025872,51,17623.0,1680.4395590263098,Acetate-MOPS
263,23,982,25133.113058437597,53,19742.0,1870.3708201364038,Acetate-MOPS
264,24,982,28510.65431446128,61,22233.0,2114.044585064588,Acetate-MOPS
265,25,982,32768.6470218295,68,25157.5,2384.2415423032817,Acetate-MOPS
266,26,982,37066.05054617056,76,28273.5,2686.3874996126074,Acetate-MOPS
267,27,982,42103.70089584508,94,32120.5,3087.003724358314,Acetate-MOPS
268,28,982,47668.89042271918,107,36495.5,3510.799497000754,Acetate-MOPS
269,29,982,52981.98293898365,116,41227.0,3953.667959950573,Acetate-MOPS
270,30,982,59268.78840020416,129,46535.5,4475.687101953426,Acetate-MOPS
271,31,982,68153.58661159687,151,52831.5,5100.956466537221,Acetate-MOPS
272,32,982,79775.4396288729,176,60606.5,5834.358791051578,Acetate-MOPS
273,33,982,88636.79474705251,198,68891.5,6650.6259560965655,Acetate-MOPS
274,34,982,100959.38955277333,222,78947.5,7587.3257480733155,Acetate-MOPS
